tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,36291,7724,8773578,146003,2017-08-01 16:23:56+00:00
892177421306343426,31290,5717,8773578,146003,2017-08-01 00:17:27+00:00
891815181378084864,23564,3786,8773578,146003,2017-07-31 00:18:03+00:00
891689557279858688,39580,7878,8773578,146003,2017-07-30 15:58:51+00:00
891327558926688256,37784,8506,8773578,146003,2017-07-29 16:00:24+00:00
891087950875897856,19039,2848,8773578,146003,2017-07-29 00:08:17+00:00
890971913173991426,11089,1855,8773578,146003,2017-07-28 16:27:12+00:00
890729181411237888,61134,17240,8773578,146003,2017-07-28 00:22:40+00:00
890609185150312448,26197,3924,8773578,146003,2017-07-27 16:25:51+00:00
890240255349198849,29932,6717,8773578,146003,2017-07-26 15:59:51+00:00
890006608113172480,28817,6700,8773578,146003,2017-07-26 00:31:25+00:00
889880896479866881,26213,4563,8773578,146003,2017-07-25 16:11:53+00:00
889665388333682689,45127,9152,8773578,146003,2017-07-25 01:55:32+00:00
889638837579907072,25402,4105,8773578,146003,2017-07-25 00:10:02+00:00
889531135344209921,14212,2061,8773578,146003,2017-07-24 17:02:04+00:00
889278841981685760,23679,4874,8772938,146002,2017-07-24 00:19:32+00:00
888917238123831296,27347,4114,8773578,146003,2017-07-23 00:22:39+00:00
888804989199671297,24032,3881,8773578,146003,2017-07-22 16:56:37+00:00
888554962724278272,18558,3184,8773578,146003,2017-07-22 00:23:06+00:00
888078434458587136,20454,3166,8773578,146003,2017-07-20 16:49:33+00:00
887705289381826560,28417,4921,8773578,146003,2017-07-19 16:06:48+00:00
887517139158093824,43570,10770,8773578,146003,2017-07-19 03:39:09+00:00
887473957103951883,64587,16457,8773578,146003,2017-07-19 00:47:34+00:00
887343217045368832,31621,9568,8773578,146003,2017-07-18 16:08:03+00:00
887101392804085760,28770,5452,8773578,146003,2017-07-18 00:07:08+00:00
886983233522544640,32840,7018,8773578,146003,2017-07-17 16:17:36+00:00
886736880519319552,11264,2939,8773578,146003,2017-07-16 23:58:41+00:00
886680336477933568,21110,4086,8773578,146003,2017-07-16 20:14:00+00:00
886366144734445568,19876,2894,8773578,146003,2017-07-15 23:25:31+00:00
886267009285017600,111,4,8773578,146003,2017-07-15 16:51:35+00:00
886258384151887873,26307,5772,8773578,146003,2017-07-15 16:17:19+00:00
886054160059072513,0,100,8773578,146003,2017-07-15 02:45:48+00:00
885984800019947520,30595,6142,8773578,146003,2017-07-14 22:10:11+00:00
885528943205470208,33785,5847,8773578,146003,2017-07-13 15:58:47+00:00
885518971528720385,19245,3408,8773578,146003,2017-07-13 15:19:09+00:00
885311592912609280,0,16941,8773578,146003,2017-07-13 01:35:06+00:00
885167619883638784,20583,3999,8773578,146003,2017-07-12 16:03:00+00:00
884925521741709313,72446,16553,8773578,146003,2017-07-12 00:01:00+00:00
884876753390489601,26195,5108,8772938,146002,2017-07-11 20:47:12+00:00
884562892145688576,22824,4300,8773578,146003,2017-07-11 00:00:02+00:00
884441805382717440,25463,5212,8773578,146003,2017-07-10 15:58:53+00:00
884247878851493888,68213,18597,8773578,146003,2017-07-10 03:08:17+00:00
884162670584377345,19178,2738,8773578,146003,2017-07-09 21:29:42+00:00
883838122936631299,20542,3145,8773578,146003,2017-07-09 00:00:04+00:00
883482846933004288,43060,9035,8773578,146003,2017-07-08 00:28:19+00:00
883360690899218434,21312,3388,8773578,146003,2017-07-07 16:22:55+00:00
883117836046086144,34862,6071,8773578,146003,2017-07-07 00:17:54+00:00
882992080364220416,22452,3562,8773578,146003,2017-07-06 15:58:11+00:00
882762694511734784,26579,4477,8773578,146003,2017-07-06 00:46:41+00:00
882627270321602560,26306,5561,8773578,146003,2017-07-05 15:48:34+00:00
882268110199369728,42147,10591,8773578,146003,2017-07-04 16:01:23+00:00
882045870035918850,27553,4470,8773578,146003,2017-07-04 01:18:17+00:00
881906580714921986,22872,3112,8773578,146003,2017-07-03 16:04:48+00:00
881666595344535552,47591,9773,8773578,146003,2017-07-03 00:11:11+00:00
881633300179243008,118,7,8773578,146003,2017-07-02 21:58:53+00:00
881536004380872706,46475,14607,8773578,146003,2017-07-02 15:32:16+00:00
881268444196462592,21850,4822,8773578,146003,2017-07-01 21:49:04+00:00
880935762899988482,16048,2552,8773578,146003,2017-06-30 23:47:07+00:00
880872448815771648,20010,3508,8773578,146003,2017-06-30 19:35:32+00:00
880465832366813184,26801,5694,8773578,146003,2017-06-29 16:39:47+00:00
880221127280381952,25361,3813,8773578,146003,2017-06-29 00:27:25+00:00
880095782870896641,25993,3975,8773578,146003,2017-06-28 16:09:20+00:00
879862464715927552,21030,3206,8773578,146003,2017-06-28 00:42:13+00:00
879674319642796034,297,10,8773578,146003,2017-06-27 12:14:36+00:00
